Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
974;2021-08-05;92;28;1218;165;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;50.0;14.0;0.0;;;;
974;2021-08-09;204;56;2443;302;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;118.0;30.0;0.0;44;13;2;19
974;2021-08-15;101;25;1226;141;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;63.0;13.0;0.0;;;;
974;2021-08-23;191;44;2627;336;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;113.0;33.0;1.0;35;5;2;25
974;2021-08-23;99;23;1333;181;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;58.0;17.0;1.0;;;;
974;2021-10-29;61;4;2976;381;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;34.0;22.0;1.0;2;0;0;2
974;2020-11-04;27;2;255;20;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-11-06;30;4;259;21;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-11-10;35;5;265;21;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-11-13;41;9;273;21;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-07-27;22;4;159;4;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;1;0
974;2020-08-09;6;1;76;3;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-05-29;7;2;60;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-06-05;14;0;60;1;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-06-10;6;1;62;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-06-14;6;1;63;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-06-16;22;3;129;1;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;0;0;4
974;2020-06-20;23;3;132;1;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;0;0;0
974;2020-05-10;3;0;58;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-03-23;2;2;0;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-13;9;0;40;0;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-04-14;19;3;32;0;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-07-22;11;1;71;1;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-07-26;15;4;85;2;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
