Période (Trimestre);Date;Catégorie;Tranche d'âge;Nb moyen demandeur emploi;Nb moyen demandeur emploi Homme;Nb moyen demandeur emploi Femme;Différence Nb demandeur emploi trimestre précédent;Nb moyen entrées;Nb moyen sorties;Nb moyen demandeur emploi longue durée;Code Officiel Département;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;Code Iso 3166-3 Zone
2018-T2;2018-04;ABC;Indifférent;168010;81310;86700;2690.0;12050.0;10760.0;92950.0;974;Réunion;04;La Réunion;REU
1999-T2;1999-04;ABC;Entre 25 et 49 ans;83590;;;1180.0;;;;974;Réunion;04;La Réunion;REU
2000-T2;2000-04;ABC;Entre 25 et 49 ans;84400;;;-530.0;;;;974;Réunion;04;La Réunion;REU
2002-T4;2002-10;ABC;Entre 25 et 49 ans;81370;;;-1630.0;;;;974;Réunion;04;La Réunion;REU
2015-T3;2015-07;ABC;Entre 25 et 49 ans;101500;;;440.0;;;;974;Réunion;04;La Réunion;REU
2002-T4;2002-10;ABC;Moins de 25 ans;23540;;;-330.0;;;;974;Réunion;04;La Réunion;REU
2010-T3;2010-07;ABC;Moins de 25 ans;22130;;;-30.0;;;;974;Réunion;04;La Réunion;REU
2012-T4;2012-10;ABC;Moins de 25 ans;24440;;;440.0;;;;974;Réunion;04;La Réunion;REU
1997-T2;1997-04;A;Indifférent;104120;;;1660.0;;;;974;Réunion;04;La Réunion;REU
2003-T1;2003-01;A;Indifférent;99760;;;-2880.0;;;;974;Réunion;04;La Réunion;REU
2008-T2;2008-04;A;Indifférent;76940;;;2210.0;;;;974;Réunion;04;La Réunion;REU
2013-T4;2013-10;A;Indifférent;134040;;;-600.0;;;;974;Réunion;04;La Réunion;REU
2015-T1;2015-01;A;Indifférent;135140;;;80.0;;;;974;Réunion;04;La Réunion;REU
2017-T2;2017-04;A;Indifférent;135270;;;-1600.0;;;;974;Réunion;04;La Réunion;REU
2018-T4;2018-10;A;Indifférent;139260;;;-580.0;;;;974;Réunion;04;La Réunion;REU
1996-T4;1996-10;ABC;Indifférent;104890;52190;52700;3040.0;8620.0;7060.0;42480.0;974;Réunion;04;La Réunion;REU
1999-T3;1999-07;ABC;Indifférent;116080;58410;57660;-220.0;8280.0;8250.0;54500.0;974;Réunion;04;La Réunion;REU
2003-T4;2003-10;ABC;Indifférent;104700;52160;52540;-2980.0;9960.0;10770.0;45190.0;974;Réunion;04;La Réunion;REU
2013-T1;2013-01;ABC;Indifférent;151000;74150;76850;3100.0;10580.0;9900.0;79770.0;974;Réunion;04;La Réunion;REU
1996-T2;1996-04;B;Indifférent;1390;;;60.0;;;;974;Réunion;04;La Réunion;REU
1998-T2;1998-04;B;Indifférent;1830;;;-100.0;;;;974;Réunion;04;La Réunion;REU
2009-T1;2009-01;B;Indifférent;5750;;;-40.0;;;;974;Réunion;04;La Réunion;REU
2021-T1;2021-01;B;Indifférent;12880;;;460.0;;;;974;Réunion;04;La Réunion;REU
1997-T1;1997-01;C;Indifférent;2220;;;50.0;;;;974;Réunion;04;La Réunion;REU
1999-T2;1999-04;C;Indifférent;3730;;;240.0;;;;974;Réunion;04;La Réunion;REU
2006-T3;2006-07;ABC;Plus de 50 ans;8970;;;-50.0;;;;974;Réunion;04;La Réunion;REU
2008-T4;2008-10;ABC;Plus de 50 ans;10450;;;500.0;;;;974;Réunion;04;La Réunion;REU
2010-T4;2010-10;ABC;Plus de 50 ans;17630;;;1010.0;;;;974;Réunion;04;La Réunion;REU
2014-T1;2014-01;ABC;Plus de 50 ans;29670;;;790.0;;;;974;Réunion;04;La Réunion;REU
2015-T4;2015-10;ABC;Plus de 50 ans;36620;;;1010.0;;;;974;Réunion;04;La Réunion;REU
2020-T2;2020-04;ABC;Plus de 50 ans;46970;;;560.0;;;;974;Réunion;04;La Réunion;REU
2006-T4;2006-10;D;Indifférent;3390;;;-50.0;;;;974;Réunion;04;La Réunion;REU
2010-T4;2010-10;D;Indifférent;4280;;;-170.0;;;;974;Réunion;04;La Réunion;REU
2019-T3;2019-07;D;Indifférent;6130;;;1040.0;;;;974;Réunion;04;La Réunion;REU
1996-T1;1996-01;E;Indifférent;2310;;;;;;;974;Réunion;04;La Réunion;REU
1997-T2;1997-04;E;Indifférent;1640;;;10.0;;;;974;Réunion;04;La Réunion;REU
2015-T1;2015-01;E;Indifférent;15130;;;810.0;;;;974;Réunion;04;La Réunion;REU
2015-T3;2015-07;E;Indifférent;15030;;;-140.0;;;;974;Réunion;04;La Réunion;REU
2016-T2;2016-04;E;Indifférent;15410;;;-300.0;;;;974;Réunion;04;La Réunion;REU
2002-T3;2002-07;ABC;Indifférent;115440;57310;58130;-1480.0;9560.0;9890.0;52230.0;974;Réunion;04;La Réunion;REU
2005-T1;2005-01;ABC;Indifférent;102830;50490;52350;510.0;9340.0;9630.0;42990.0;974;Réunion;04;La Réunion;REU
2005-T4;2005-10;ABC;Indifférent;98810;47600;51210;-610.0;9980.0;9520.0;42770.0;974;Réunion;04;La Réunion;REU
2012-T4;2012-10;ABC;Indifférent;147900;72180;75720;4270.0;11050.0;9380.0;76630.0;974;Réunion;04;La Réunion;REU
2016-T4;2016-10;ABC;Indifférent;161390;78180;83210;1610.0;11100.0;10870.0;87300.0;974;Réunion;04;La Réunion;REU
2000-T3;2000-07;B;Indifférent;2720;;;-260.0;;;;974;Réunion;04;La Réunion;REU
2004-T2;2004-04;B;Indifférent;4950;;;240.0;;;;974;Réunion;04;La Réunion;REU
2008-T4;2008-10;B;Indifférent;5790;;;30.0;;;;974;Réunion;04;La Réunion;REU
2014-T3;2014-07;B;Indifférent;9290;;;-120.0;;;;974;Réunion;04;La Réunion;REU
2018-T4;2018-10;B;Indifférent;12740;;;230.0;;;;974;Réunion;04;La Réunion;REU
