Code INSEE;Commune;Nombre de personnes;Lieu de travail;Sexe;Mode de transport;Code EPCI;Nom de l'EPCI;Nom du département;Nom de la région
97409;Saint-André;20;Autre commune du département de résidence;Femmes;Marche à pied;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97415;Saint-Paul;180;Autre commune du département de résidence;Hommes;Transports en commun;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97410;Saint-Benoît;193;Commune de résidence;Femmes;Pas de transport;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97421;Salazie;5;Autre commune du département de résidence;Hommes;Pas de transport;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97410;Saint-Benoît;2122;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97407;Le Port;201;Autre commune du département de résidence;Femmes;Transports en commun;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97416;Saint-Pierre;592;Commune de résidence;Femmes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97424;Cilaos;30;Commune de résidence;Hommes;Deux roues;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97402;Bras-Panon;5;Autre commune du département de résidence;Femmes;Deux roues;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97403;Entre-Deux;320;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740085;CA du Sud;LA REUNION;LA REUNION
97414;Saint-Louis;3144;Commune de résidence;Hommes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97415;Saint-Paul;70;Autre région en France métropolitaine;Hommes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97415;Saint-Paul;5;Autre région en France métropolitaine;Femmes;Marche à pied;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97402;Bras-Panon;3;Autre région en France métropolitaine;Hommes;Marche à pied;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97406;La Plaine-des-Palmistes;315;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97403;Entre-Deux;15;Autre commune du département de résidence;Femmes;Deux roues;249740085;CA du Sud;LA REUNION;LA REUNION
97405;Petite-Île;87;Commune de résidence;Femmes;Pas de transport;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97410;Saint-Benoît;8;Autre région en France métropolitaine;Hommes;Voiture, camion, fourgonnette;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97415;Saint-Paul;7988;Commune de résidence;Hommes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97405;Petite-Île;3;Autre région en France métropolitaine;Hommes;Pas de transport;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97421;Salazie;42;Commune de résidence;Femmes;Transports en commun;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97404;L'Étang-Salé;2;Autre commune du département de résidence;Hommes;Marche à pied;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97416;Saint-Pierre;146;Autre commune du département de résidence;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97414;Saint-Louis;80;Commune de résidence;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97402;Bras-Panon;5;Autre commune du département de résidence;Hommes;Pas de transport;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97403;Entre-Deux;705;Autre commune du département de résidence;Hommes;Voiture, camion, fourgonnette;249740085;CA du Sud;LA REUNION;LA REUNION
97409;Saint-André;158;Commune de résidence;Hommes;Pas de transport;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97424;Cilaos;356;Commune de résidence;Hommes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97401;Les Avirons;29;Autre commune du département de résidence;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97409;Saint-André;10;Autre commune du département de résidence;Hommes;Marche à pied;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97413;Saint-Leu;1679;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97422;Le Tampon;577;Commune de résidence;Hommes;Marche à pied;249740085;CA du Sud;LA REUNION;LA REUNION
97424;Cilaos;10;Autre commune du département de résidence;Femmes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97403;Entre-Deux;5;Commune de résidence;Femmes;Transports en commun;249740085;CA du Sud;LA REUNION;LA REUNION
97418;Sainte-Marie;126;Commune de résidence;Hommes;Transports en commun;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97415;Saint-Paul;6434;Autre commune du département de résidence;Hommes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97401;Les Avirons;8;Autre région en France métropolitaine;Hommes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97413;Saint-Leu;2;Autre région en France métropolitaine;Hommes;Pas de transport;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97408;La Possession;43;Autre commune du département de résidence;Femmes;Deux roues;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97424;Cilaos;277;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97406;La Plaine-des-Palmistes;10;Commune de résidence;Hommes;Transports en commun;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97418;Sainte-Marie;5;Autre région en France métropolitaine;Hommes;Transports en commun;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97407;Le Port;37;Commune de résidence;Femmes;Deux roues;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97402;Bras-Panon;5;Autre commune du département de résidence;Femmes;Marche à pied;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97410;Saint-Benoît;2279;Commune de résidence;Hommes;Voiture, camion, fourgonnette;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97417;Saint-Philippe;51;Commune de résidence;Hommes;Deux roues;249740085;CA du Sud;LA REUNION;LA REUNION
97419;Sainte-Rose;5;Autre commune du département de résidence;Femmes;Deux roues;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97408;La Possession;2;Autre (Dom, Com, étranger);Femmes;Transports en commun;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97424;Cilaos;25;Commune de résidence;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97422;Le Tampon;20;Autre commune du département de résidence;Hommes;Marche à pied;249740085;CA du Sud;LA REUNION;LA REUNION
97422;Le Tampon;35;Commune de résidence;Femmes;Deux roues;249740085;CA du Sud;LA REUNION;LA REUNION
97415;Saint-Paul;903;Commune de résidence;Femmes;Transports en commun;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97412;Saint-Joseph;2174;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740085;CA du Sud;LA REUNION;LA REUNION
97416;Saint-Pierre;7000;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97416;Saint-Pierre;2;Autre région en France métropolitaine;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97414;Saint-Louis;7;Autre commune du département de résidence;Hommes;Pas de transport;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
